"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 12 15:21:21 EEST 2022","Fri Aug 12 15:21:36 EEST 2022","14492","","tests\redmine.spec.js","Testing a few basic features from the Readmine site","","","Search random data from the overview page",""
"passed","Fri Aug 12 15:20:47 EEST 2022","Fri Aug 12 15:20:57 EEST 2022","9861","","tests\redmine.spec.js","Testing a few basic features from the Readmine site","","","Sign in previously created account",""
"passed","Fri Aug 12 15:21:17 EEST 2022","Fri Aug 12 15:21:21 EEST 2022","4405","","tests\redmine.spec.js","Testing a few basic features from the Readmine site","","","Go to roadmap guide page from the main page",""
"passed","Fri Aug 12 15:21:06 EEST 2022","Fri Aug 12 15:21:17 EEST 2022","10195","","tests\redmine.spec.js","Testing a few basic features from the Readmine site","","","Go to a last closed patch ticket from the main page",""
"passed","Fri Aug 12 15:20:57 EEST 2022","Fri Aug 12 15:21:06 EEST 2022","9059","","tests\redmine.spec.js","Testing a few basic features from the Readmine site","","","Sign up by filling in the required fields with random valid data",""
